"lead_A8KmC6LpvGMUL7orgo40pAfvRZMzNAI8qRYJyShPgwv","Tonicity Health","tonicityhealthinfo@gmail.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 727-238-3455","US","office","+17272383455"
"lead_3PbP6DyOuUaXLORnMOA52jz8wdZVS3l0Ud7dASOYx2O","BL Clinics","care@blclinics.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 727-250-4148","US","office","+17272504148"
"lead_gGNjQAmt61tQm3zXWsL7IPcKnwgtpw2QdwBtNYFXG4e","Mirror Image Spa","mirrorimagemedspa@gmail.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 727-474-2225","US","office","+17274742225"
"lead_UeoXqYQISNMDNx6eSAQuWBVPZVRyUxzbehBvr6gqDkU","Water's Edge Medical Clinic & Spa","+1 727-550-0855","1","10",,"UPDATE ME","+1 727-550-0855","US","office","+17275500855"
"lead_CApmH1UGNmQP7CbL9miR5QLEyY0gnKnxgcykuN9zwbW","CKO SOMERSET","Jake","1","5",,"UPDATE ME","+1 732-227-1256","US","office","+17322271256"
"lead_my31vRLbRAdkCiucqn4PLGNUQAX6Wsyqy0STxpASfXy","CrossFit Rife","Jason Fernandez","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 757-390-3373","US","office","+17573903373"
"lead_2iOst0HnvK81dvbVypwo6cwuwTA21ETrPyKoBn9PW9i","MAC Day Spa & Hair Studio","+1 770-514-2020","1","10",,"UPDATE ME","+1 770-514-2020","US","office","+17705142020"
"lead_9yexnaAhNifi7UsTwDYz99lBTd1KONJOqnFJKqpwZdI","East Cobb Rejuvenation Medspa","+1 770-771-6865","1","10",,"UPDATE ME","+1 770-771-6865","US","office","+17707716865"
"lead_dW8km1fMpSiR4QyVteGM9aH6zi5zEQPweCqKdyUFf3f","Southside Knockout Training","+1 773-253-9404","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 773-253-9404","US","office","+17732539404"
"lead_bp57FNVABFdxHdrteAiqbvxD48xUHYkjWuk44n0GKwX","UT Health East Texas Olympic Center Hideaway Lake","+1 903-596-3627","1","10",,"UPDATE ME","+1 903-596-3627","US","office","+19035963627"
"lead_7T8yyNAiOqQGJIfUiNjoePpr7BngrC8EQwiHIzkDORR","HealthCARE Express Urgent Care - Texarkana, TX","+1 903-791-9355","1","10",,"UPDATE ME","+1 903-791-9355","US","office","+19037919355"
"lead_SvxnDudUUFMFGFFV3FgjJdDtMfxcMU9S4dCQnMla7PV","Eluma Laser","eluma@elumalaser.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 904-619-7078","US","office","+19046197078"
"lead_aAvqnqLw5T9SgAWoUQWYtircjzWK2bwsIM6bAZLVCFq","Queens Muay Thai","+1 905-458-7364","1","10",,"UPDATE ME","+1 905-458-7364","CA","office","+19054587364"
"lead_8ILEny2VgtJNE8OZk8shiXc5X5qkvusSeSap61EcztO","Top Dawgs Fitness","+1 905-734-3294","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 905-734-3294","CA","office","+19057343294"
"lead_DBNG7aOq82bcajCNKEMKWPFuynJSnGXMpEPqD7kk2jn","TuffStuff Fitness International","Cammie Grider","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","1 - Possibly Qualified","+1 909-629-1600","US","other","+19096291600"
"lead_e3NLYzfELZJ2rZLGx9ljVijNhhrQV2Hexrc3AZ5qrqQ","Team ROC","+1 910-487-8326","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 910-487-8326","US","office","+19104878326"
"lead_fKU0yPJ0JCiG72t6hDEsxwC9cqFsJGrh8Mk5tX6hBwM","Destiny Fitness of Perry","+1 912-384-1781","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 912-384-1781","US","office","+19123841781"
"lead_7yynqTmZKBYar2gwIWUZRjyyIPn4foNPXqKVjG5IRB7","Rejuvenate Skincare and Laser","+1 916-929-1833","1","10",,"UPDATE ME","+1 916-929-1833","US","office","+19169291833"
"lead_kcv5oToiJG5yPqGnjDs9XgrVatYxomjCdcGQHs5jWi6","Utica Park Clinic - Catoosa","+1 918-579-3627","1","10",,"UPDATE ME","+1 918-579-3627","US","office","+19185793627"
"lead_cavcXmn9B0riGgDdX1cAnb2RR8dKzYmZywVGALQZjtZ","Kolf Sports Center","+1 920-424-1234","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 920-424-1234","US","office","+19204241234"
"lead_A1II3knaeyA0MEuEUB4Lindg448iGddFViSBDFXBTeZ","All Sport Health & Fitness","+1 845-896-5678","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 845-896-5678","US","office","+18458965678"
"lead_eFzsPNM0dQmzskQANHqS8F75bkDhPd79joI1ikj9sMF","Livea Weight Control Centers - Rochester","+1 855-465-4832","1","10",,"UPDATE ME","+1 855-465-4832","US","office","+18554654832"
"lead_CSTY89B6YgJG1DDRc1oNxlSuBjInitdGBhpOe1c2Hbz","Horizon Personal Training Centers of Newington","+1 860-628-7776","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 860-628-7776","US","office","+18606287776"
"lead_bokzz0lnZQl9i5OzmWcivjC5uHnLikIw39Q7JAMJ3Mb","Southern Om West End","info@southernom.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 864-520-8777","US","office","+18645208777"
